id,type,azimuth_deg,targets,snr_db,true_ranges_m,detected_ranges_m,range_errors_m,detected_velocity_mps,true_velocity_mps,velocity_error_mps,pslr_db,range_resolution_m,speed_resolution_mps,window_truncated,success,runtime_s
28,grid,30,"[(700, -50)]",,[700],"[699.75, 712.5, 687.0, 724.5]",[0.25],-49.107142857142854,-50,0.8928571428571459,23.155933206579057,1.5,2.232142857142857,[False],True,0.09
29,grid,30,"[(700, -20)]",,[700],"[699.75, 712.5, 687.0, 724.5]",[0.25],-20.089285714285715,-20,-0.0892857142857153,23.137698161644085,1.5,2.232142857142857,[False],True,0.09
30,grid,30,"[(700, 0)]",,[700],"[699.75, 712.5, 687.0, 724.5]",[0.25],0.0,0,0.0,23.129417353653558,1.5,2.232142857142857,[False],True,0.08
31,grid,30,"[(700, 10)]",,[700],"[699.75, 712.5, 687.0, 724.5]",[0.25],8.928571428571429,10,-1.0714285714285712,23.126429846598004,1.5,2.232142857142857,[False],True,0.09
32,grid,30,"[(700, 20)]",,[700],"[699.75, 687.0, 712.5, 724.5]",[0.25],20.089285714285715,20,0.0892857142857153,23.109492960905797,1.5,2.232142857142857,[False],True,0.09
33,grid,30,"[(700, 50)]",,[700],"[699.75, 687.0, 712.5, 724.5]",[0.25],49.107142857142854,50,-0.8928571428571459,23.05880728345815,1.5,2.232142857142857,[False],True,0.1
34,grid,30,"[(700, 60)]",,[700],"[699.75, 687.0, 712.5, 724.5]",[0.25],60.267857142857146,60,0.2678571428571459,23.043509438411416,1.5,2.232142857142857,[False],True,0.1
35,grid,30,"[(1000, -50)]",,[1000],"[746.25, 732.75, 719.25, 705.75]",[253.75],-49.107142857142854,-50,0.8928571428571459,0.41903849608296184,1.5,2.232142857142857,[True],False,0.1
36,grid,30,"[(1000, -20)]",,[1000],"[746.25, 732.75, 719.25, 705.75]",[253.75],-20.089285714285715,-20,-0.0892857142857153,0.41542037309853974,1.5,2.232142857142857,[True],False,0.09
37,grid,30,"[(1000, 0)]",,[1000],"[746.25, 732.75, 719.25, 705.75]",[253.75],0.0,0,0.0,0.4129953043567838,1.5,2.232142857142857,[True],False,0.1
38,grid,30,"[(1000, 10)]",,[1000],"[746.25, 732.75, 719.25, 705.75]",[253.75],8.928571428571429,10,-1.0714285714285712,0.411778448750324,1.5,2.232142857142857,[True],False,0.1
39,grid,30,"[(1000, 20)]",,[1000],"[746.25, 732.75, 719.25, 705.75]",[253.75],20.089285714285715,20,0.0892857142857153,0.41055852039794516,1.5,2.232142857142857,[True],False,0.1
40,grid,30,"[(1000, 50)]",,[1000],"[746.25, 732.75, 719.25, 705.75]",[253.75],49.107142857142854,50,-0.8928571428571459,0.40687883497239774,1.5,2.232142857142857,[True],False,0.1
41,grid,30,"[(1000, 60)]",,[1000],"[746.25, 732.75, 719.25, 705.75]",[253.75],60.267857142857146,60,0.2678571428571459,0.4056451441764022,1.5,2.232142857142857,[True],False,0.11
42,azimuth,-60,"[(500, 10)]",,[500],"[499.5, 512.25, 487.5, 475.5]",[0.5],8.928571428571429,10,-1.0714285714285712,25.51883233759011,1.5,2.232142857142857,[False],True,0.1
43,azimuth,-30,"[(500, 10)]",,[500],"[499.5, 512.25, 487.5, 475.5]",[0.5],8.928571428571429,10,-1.0714285714285712,25.51883233759011,1.5,2.232142857142857,[False],True,0.1
44,azimuth,0,"[(500, 10)]",,[500],"[499.5, 512.25, 487.5, 475.5]",[0.5],8.928571428571429,10,-1.0714285714285712,25.51883233759011,1.5,2.232142857142857,[False],True,0.09
45,azimuth,60,"[(500, 10)]",,[500],"[499.5, 512.25, 487.5, 475.5]",[0.5],8.928571428571429,10,-1.0714285714285712,25.51883233759011,1.5,2.232142857142857,[False],True,0.1
46,multi2,30,"[(500, 10), (800, -15)]",,"[500, 800]","[499.5, 512.25, 487.5, 525.75]","[0.5, 287.75]",8.928571428571429,10,-1.0714285714285712,25.207423368493988,1.5,2.232142857142857,"[False, True]",False,0.1
47,multi3,30,"[(300, 20), (600, -5), (900, 35)]",,"[300, 600, 900]","[300.0, 600.0, 288.0, 312.0]","[0.0, 0.0, 612.0]",20.089285714285715,20,0.0892857142857153,2.491619708495463,1.5,2.232142857142857,"[False, False, True]",False,0.11
48,noise,30,"[(300, 10)]",5,[300],"[300.0, 284.25, 320.25, -252.75]",[0.0],8.928571428571429,10,-1.0714285714285712,26.95367852975849,1.5,2.232142857142857,[False],True,0.1
49,noise,30,"[(700, 10)]",5,[700],"[699.75, 712.5, 687.0, -17.25]",[0.25],8.928571428571429,10,-1.0714285714285712,21.617612728218308,1.5,2.232142857142857,[False],True,0.11
50,noise,30,"[(300, 10)]",10,[300],"[300.0, 312.0, 288.0, 273.0]",[0.0],8.928571428571429,10,-1.0714285714285712,23.834420849735753,1.5,2.232142857142857,[False],True,0.1
51,noise,30,"[(700, 10)]",10,[700],"[699.75, 687.0, 712.5, 724.5]",[0.25],8.928571428571429,10,-1.0714285714285712,23.111198374128467,1.5,2.232142857142857,[False],True,0.11
52,noise,30,"[(300, 10)]",20,[300],"[300.0, 288.0, 312.0, 324.0]",[0.0],8.928571428571429,10,-1.0714285714285712,26.344466843852715,1.5,2.232142857142857,[False],True,0.11
53,noise,30,"[(700, 10)]",20,[700],"[699.75, 687.0, 712.5, 724.5]",[0.25],8.928571428571429,10,-1.0714285714285712,23.059338957265687,1.5,2.232142857142857,[False],True,0.13
